Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CRLF Injection
MUDANYA ÜNİVERSİTESİ;https://mudanya.edu.tr;True;True;2025-05-18 14:22:26;2025-08-16 14:22:25;False;False;False;False;False;False;True;True;0;False
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ;http://www.mu.edu.tr/;True;True;2024-08-05 00:00:00;2025-09-03 23:59:59;False;False;False;False;False;False;True;True;0;False
MUNZUR ÜNİVERSİTESİ;www.munzur.edu.tr;True;True;2024-07-08 00:00:00;2025-07-13 23:59:59;False;False;False;False;False;False;True;True;0;False
MUŞ ALPARSLAN ÜNİVERSİTESİ;www.alparslan.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
NECMETTİN ERBAKAN ÜNİVERSİTESİ;http://www.erbakan.edu.tr;True;True;2025-04-13 01:38:53;2025-07-12 02:38:50;True;False;True;True;False;False;False;True;3;False
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ;http://www.nevsehir.edu.tr/;True;True;2024-08-27 12:33:16;2025-08-27 12:33:16;False;False;False;False;False;False;True;True;0;False
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ;http://www.ohu.edu.tr/;True;True;2024-11-01 14:50:43;2025-12-03 14:50:42;False;False;False;False;False;False;True;True;0;False
NUH NACİ YAZGAN ÜNİVERSİTESİ;http://www.nny.edu.tr;True;True;2024-09-16 00:00:00;2025-09-16 23:59:59;False;False;False;False;False;False;True;True;0;False
ONDOKUZ MAYIS ÜNİVERSİTESİ;http://www.omu.edu.tr/;True;True;2025-02-27 00:00:00;2026-03-30 23:59:59;False;False;True;True;False;False;False;True;2;False
ORDU ÜNİVERSİTESİ;http://www.odu.edu.tr;True;True;2024-10-07 08:39:43;2025-10-07 08:39:43;False;False;False;False;False;False;True;True;0;False
ORTA DOĞU TEKNİK ÜNİVERSİTESİ;http://www.metu.edu.tr;True;True;2024-08-08 00:00:00;2025-08-13 23:59:59;False;False;True;True;False;False;False;True;2;False
OSMANİYE KORKUT ATA ÜNİVERSİTESİ;http://www.osmaniye.edu.tr;True;True;2024-12-20 00:00:00;2025-12-19 23:59:59;False;False;False;False;False;False;True;True;0;False
OSTİM TEKNİK ÜNİVERSİTESİ;www.ostimteknik.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ÖZYEĞİN ÜNİVERSİTESİ;www.ozyegin.edu.tr;True;True;2024-10-21 00:00:00;2025-11-21 23:59:59;True;True;True;True;False;False;False;False;4;False
PAMUKKALE ÜNİVERSİTESİ;http://www.pau.edu.tr;True;True;2025-04-01 23:10:13;2025-06-30 23:10:12;True;False;False;False;False;False;True;True;1;False
PİRİ REİS ÜNİVERSİTESİ;http://www.pirireis.edu.tr;True;True;2025-01-07 16:49:26;2026-02-08 16:49:25;False;False;False;False;False;False;True;True;0;False
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ;erdogan.edu.tr;True;True;2024-10-30 00:00:00;2025-11-30 23:59:59;False;False;False;False;False;False;True;True;0;False
SABANCI ÜNİVERSİTESİ;http://www.sabanciuniv.edu;True;True;2025-05-07 10:41:51;2026-06-08 10:41:50;True;False;True;True;False;False;False;True;3;False
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;http://www.sbu.edu.tr;True;True;2024-12-12 09:58:15;2026-01-13 09:58:14;False;False;False;False;False;False;True;True;0;False
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;www.subu.edu.tr;True;True;2024-12-24 00:00:00;2025-12-24 23:59:59;True;False;True;True;False;False;False;True;3;False
SAKARYA ÜNİVERSİTESİ;http://www.sakarya.edu.tr;True;True;2024-07-23 00:00:00;2025-08-23 23:59:59;False;False;False;False;False;False;True;True;0;False
SAMSUN ÜNİVERSİTESİ;www.samsun.edu.tr;True;True;2025-04-10 23:03:43;2025-07-10 00:02:07;False;False;False;False;False;False;True;True;0;False
SANKO ÜNİVERSİTESİ;http://www.sanko.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
SELÇUK ÜNİVERSİTESİ;http://www.selcuk.edu.tr/;True;True;2024-12-12 00:00:00;2026-01-12 23:59:59;False;False;False;False;False;False;True;True;0;False
SİİRT ÜNİVERSİTESİ;http://siirt.edu.tr;True;True;2025-03-18 00:00:00;2026-04-18 23:59:59;True;False;False;False;False;False;True;True;1;False
SİNOP ÜNİVERSİTESİ;http://www.sinop.edu.tr;True;True;2024-08-12 00:00:00;2025-08-09 23:59:59;False;True;True;False;False;False;True;True;2;False
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.sivas.edu.tr/;True;True;2024-12-03 00:00:00;2025-12-03 23:59:59;True;True;True;True;True;False;False;False;5;False
SİVAS CUMHURİYET ÜNİVERSİTESİ;http://www.cumhuriyet.edu.tr;True;True;2024-12-04 12:53:40;2026-01-05 12:53:39;False;False;False;False;False;False;True;True;0;False
SÜLEYMAN DEMİREL ÜNİVERSİTESİ;http://www.sdu.edu.tr/;True;True;2024-09-18 00:00:00;2025-06-01 23:59:59;False;False;False;False;False;False;True;True;0;False
ŞIRNAK ÜNİVERSİTESİ;http://www.sirnak.edu.tr;True;True;2025-01-02 00:00:00;2026-02-02 23:59:59;True;False;False;False;False;False;True;True;1;False
TARSUS ÜNİVERSİTESİ;www.tarsus.edu.tr;True;True;2024-12-18 00:00:00;2026-01-18 23:59:59;True;True;False;False;False;False;True;False;2;False
TED ÜNİVERSİTESİ;http://www.tedu.edu.tr;True;True;2025-02-06 13:13:32;2026-03-10 13:13:31;True;False;True;True;False;False;False;True;3;False
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ;http://www.nku.edu.tr;True;True;2024-06-12 06:58:26;2025-06-12 06:58:26;False;False;False;False;False;False;True;True;0;False
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ;www.etu.edu.tr;True;True;2024-11-26 00:00:00;2025-12-27 23:59:59;False;False;True;True;False;False;False;True;2;False
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ;www.gop.edu.tr;True;True;2024-07-31 00:00:00;2025-07-30 23:59:59;False;False;False;False;False;False;True;True;0;False
TOROS ÜNİVERSİTESİ;www.toros.edu.tr;True;True;2025-04-19 01:16:13;2025-07-18 02:14:41;False;False;True;True;False;False;False;True;2;False
TRABZON ÜNİVERSİTESİ;www.trabzon.edu.tr;True;True;2025-03-17 00:00:00;2026-04-17 23:59:59;False;False;False;False;False;False;True;True;0;False
TRAKYA ÜNİVERSİTESİ;http://www.trakya.edu.tr/;True;True;2025-05-08 06:48:49;2026-06-09 06:48:48;True;False;False;False;False;False;True;True;1;False
TÜRK HAVA KURUMU ÜNİVERSİTESİ;http://www.thk.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
TÜRK-ALMAN ÜNİVERSİTESİ;http://www.tau.edu.tr/;True;True;2024-09-19 00:00:00;2025-09-21 23:59:59;False;False;False;False;False;False;True;True;0;False
TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;False
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;False
UFUK ÜNİVERSİTESİ;http://www.ufuk.edu.tr;True;True;2025-05-18 18:57:42;2025-08-16 18:57:41;False;False;False;False;False;False;True;True;0;False
UŞAK ÜNİVERSİTESİ;http://www.usak.edu.tr;True;True;2024-09-20 00:00:00;2025-10-21 23:59:59;True;False;False;False;False;False;True;True;1;False
ÜSKÜDAR ÜNİVERSİTESİ;http://www.uskudar.edu.tr;True;True;2025-04-16 11:52:27;2025-07-15 11:52:26;False;False;False;False;False;False;True;True;0;False
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ;http://www.yyu.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;False
YALOVA ÜNİVERSİTESİ;http://www.yalova.edu.tr/rektorl uk;True;True;2024-09-09 00:00:00;2025-10-10 23:59:59;True;False;False;False;False;False;True;True;1;False
YAŞAR ÜNİVERSİTESİ;http://www.yasar.edu.tr;True;True;2024-11-01 00:00:00;2025-12-01 23:59:59;False;False;True;True;True;False;False;True;3;False
YEDİTEPE ÜNİVERSİTESİ;http://www.yeditepe.edu.tr/;True;True;2024-08-05 00:00:00;2025-08-08 23:59:59;True;False;True;True;True;False;False;True;4;False
YILDIZ TEKNİK ÜNİVERSİTESİ;http://www.yildiz.edu.tr;True;True;2024-10-17 00:00:00;2025-11-17 23:59:59;False;False;True;True;False;False;False;True;2;False
YOZGAT BOZOK ÜNİVERSİTESİ;http://www.bozok.edu.tr/;True;True;2024-11-26 00:00:00;2025-10-21 23:59:59;False;False;False;False;False;False;True;True;0;False
YÜKSEK İHTİSAS ÜNİVERSİTESİ;www.yuksekihtisasuniversitesi.e du.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ;https://www.beun.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
